plan_id,wall_ts,n_poses,path_length_m,robot_x,robot_y,goal_x,goal_y
90,1776513792.594,211,10.60,-75.654,-23.716,-69.527,-30.725
91,1776513792.599,211,10.60,-75.654,-23.716,-69.527,-30.725
92,1776513802.612,206,10.50,-75.653,-23.714,-69.527,-30.725
93,1776513802.619,206,10.50,-75.653,-23.714,-69.527,-30.725
94,1776513812.636,206,10.50,-75.656,-23.720,-69.527,-30.725
95,1776513812.641,206,10.50,-75.656,-23.720,-69.527,-30.725
96,1776513822.654,206,10.50,-75.659,-23.726,-69.527,-30.725
97,1776513822.659,206,10.50,-75.659,-23.726,-69.527,-30.725
98,1776513832.673,211,10.60,-75.661,-23.730,-69.527,-30.725
99,1776513832.680,211,10.60,-75.661,-23.730,-69.527,-30.725
100,1776513842.692,213,10.69,-75.659,-23.728,-69.527,-30.725
101,1776513842.699,213,10.69,-75.659,-23.728,-69.527,-30.725
102,1776513852.712,211,10.60,-75.660,-23.729,-69.527,-30.725
103,1776513852.717,211,10.60,-75.660,-23.729,-69.527,-30.725
104,1776513862.733,211,10.60,-75.660,-23.728,-69.527,-30.725
105,1776513862.738,211,10.60,-75.660,-23.728,-69.527,-30.725
