seq,wall_ts,x,y
0,1776513672.893,-75.300,-23.600
1,1776513672.893,-75.266,-23.543
2,1776513672.893,-75.239,-23.500
3,1776513672.893,-75.189,-23.503
4,1776513672.893,-75.147,-23.476
5,1776513672.893,-75.105,-23.449
6,1776513672.893,-75.077,-23.408
7,1776513672.893,-75.041,-23.373
8,1776513672.893,-74.993,-23.359
9,1776513672.893,-74.945,-23.345
10,1776513672.893,-74.895,-23.341
11,1776513672.893,-74.846,-23.336
12,1776513672.893,-74.796,-23.332
13,1776513672.893,-74.746,-23.325
14,1776513672.893,-74.697,-23.329
15,1776513672.893,-74.648,-23.339
16,1776513672.893,-74.601,-23.357
17,1776513672.893,-74.552,-23.366
18,1776513672.893,-74.503,-23.376
19,1776513672.893,-74.454,-23.385
20,1776513672.893,-74.405,-23.396
21,1776513672.893,-74.357,-23.411
22,1776513672.893,-74.314,-23.436
23,1776513672.893,-74.269,-23.458
24,1776513672.893,-74.228,-23.486
25,1776513672.893,-74.189,-23.519
26,1776513672.893,-74.153,-23.553
27,1776513672.893,-74.118,-23.589
28,1776513672.893,-74.084,-23.625
29,1776513672.893,-74.052,-23.663
30,1776513672.893,-74.020,-23.702
31,1776513672.893,-74.017,-23.752
32,1776513672.893,-73.990,-23.794
33,1776513672.893,-73.963,-23.837
34,1776513672.893,-73.938,-23.880
35,1776513672.893,-73.912,-23.923
36,1776513672.893,-73.886,-23.965
37,1776513672.893,-73.861,-24.008
38,1776513672.893,-73.836,-24.051
39,1776513672.893,-73.811,-24.095
40,1776513672.893,-73.787,-24.139
41,1776513672.893,-73.762,-24.182
42,1776513672.893,-73.737,-24.226
43,1776513672.893,-73.712,-24.269
44,1776513672.893,-73.688,-24.313
45,1776513672.893,-73.664,-24.357
46,1776513672.893,-73.639,-24.400
47,1776513672.893,-73.614,-24.443
48,1776513672.893,-73.590,-24.487
49,1776513672.893,-73.566,-24.531
50,1776513672.893,-73.541,-24.574
51,1776513672.893,-73.515,-24.617
52,1776513672.893,-73.492,-24.661
53,1776513672.893,-73.467,-24.705
54,1776513672.893,-73.441,-24.748
55,1776513672.893,-73.415,-24.790
56,1776513672.893,-73.392,-24.834
57,1776513672.893,-73.367,-24.878
58,1776513672.893,-73.341,-24.920
59,1776513672.893,-73.314,-24.963
60,1776513672.893,-73.290,-25.007
61,1776513672.893,-73.265,-25.050
62,1776513672.893,-73.238,-25.092
63,1776513672.893,-73.211,-25.134
64,1776513672.893,-73.186,-25.177
65,1776513672.893,-73.160,-25.220
66,1776513672.893,-73.132,-25.262
67,1776513672.893,-73.104,-25.303
68,1776513672.893,-73.077,-25.345
69,1776513672.893,-73.050,-25.387
70,1776513672.893,-73.021,-25.428
71,1776513672.893,-72.991,-25.468
72,1776513672.893,-72.962,-25.508
73,1776513672.893,-72.932,-25.548
74,1776513672.893,-72.897,-25.584
75,1776513672.893,-72.862,-25.620
76,1776513672.893,-72.828,-25.657
77,1776513672.893,-72.789,-25.688
78,1776513672.893,-72.750,-25.719
79,1776513672.893,-72.712,-25.751
80,1776513672.893,-72.671,-25.781
81,1776513672.893,-72.631,-25.810
82,1776513672.893,-72.592,-25.841
83,1776513672.893,-72.554,-25.873
84,1776513672.893,-72.516,-25.907
85,1776513672.893,-72.478,-25.939
86,1776513672.893,-72.440,-25.971
87,1776513672.893,-72.401,-26.003
88,1776513672.893,-72.362,-26.033
89,1776513672.893,-72.320,-26.061
90,1776513672.893,-72.276,-26.085
91,1776513672.893,-72.232,-26.109
92,1776513672.893,-72.190,-26.135
93,1776513672.893,-72.149,-26.164
94,1776513672.893,-72.110,-26.196
95,1776513672.893,-72.073,-26.229
96,1776513672.893,-72.038,-26.265
97,1776513672.893,-72.006,-26.303
98,1776513672.893,-71.991,-26.351
99,1776513672.893,-72.000,-26.400
100,1776513672.893,-71.900,-26.500
101,1776513672.893,-71.800,-26.600
102,1776513672.893,-71.800,-26.700
103,1776513672.893,-71.800,-26.800
104,1776513672.893,-71.700,-26.900
105,1776513672.893,-71.600,-27.000
106,1776513672.893,-71.600,-27.100
107,1776513672.893,-71.600,-27.200
108,1776513672.893,-71.638,-27.281
