seq,wall_ts,x,y
0,1776513469.993,-78.600,-22.400
1,1776513469.993,-78.521,-22.427
2,1776513469.993,-78.473,-22.441
3,1776513469.993,-78.426,-22.459
4,1776513469.993,-78.382,-22.483
5,1776513469.993,-78.340,-22.509
6,1776513469.993,-78.297,-22.536
7,1776513469.993,-78.255,-22.563
8,1776513469.993,-78.214,-22.590
9,1776513469.993,-78.172,-22.618
10,1776513469.993,-78.130,-22.645
11,1776513469.993,-78.088,-22.673
12,1776513469.993,-78.047,-22.701
13,1776513469.993,-78.005,-22.729
14,1776513469.993,-77.964,-22.756
15,1776513469.993,-77.922,-22.784
16,1776513469.993,-77.881,-22.812
17,1776513469.993,-77.839,-22.840
18,1776513469.993,-77.798,-22.868
19,1776513469.993,-77.757,-22.897
20,1776513469.993,-77.715,-22.925
21,1776513469.993,-77.674,-22.953
22,1776513469.993,-77.633,-22.981
23,1776513469.993,-77.591,-23.009
24,1776513469.993,-77.550,-23.038
25,1776513469.993,-77.509,-23.066
26,1776513469.993,-77.468,-23.094
27,1776513469.993,-77.427,-23.122
28,1776513469.993,-77.385,-23.151
29,1776513469.993,-77.344,-23.179
30,1776513469.993,-77.303,-23.207
31,1776513469.993,-77.262,-23.236
32,1776513469.993,-77.221,-23.264
33,1776513469.993,-77.179,-23.292
34,1776513469.993,-77.138,-23.321
35,1776513469.993,-77.097,-23.349
36,1776513469.993,-77.056,-23.378
37,1776513469.993,-77.015,-23.406
38,1776513469.993,-76.974,-23.434
39,1776513469.993,-76.932,-23.463
40,1776513469.993,-76.891,-23.491
41,1776513469.993,-76.850,-23.520
42,1776513469.993,-76.809,-23.548
43,1776513469.993,-76.768,-23.576
44,1776513469.993,-76.727,-23.605
45,1776513469.993,-76.686,-23.633
46,1776513469.993,-76.644,-23.662
47,1776513469.993,-76.603,-23.690
48,1776513469.993,-76.562,-23.719
49,1776513469.993,-76.521,-23.747
50,1776513469.993,-76.480,-23.776
51,1776513469.993,-76.439,-23.804
52,1776513469.993,-76.398,-23.832
53,1776513469.993,-76.357,-23.861
54,1776513469.993,-76.316,-23.889
55,1776513469.993,-76.274,-23.918
56,1776513469.993,-76.233,-23.946
57,1776513469.993,-76.192,-23.975
58,1776513469.993,-76.151,-24.003
59,1776513469.993,-76.110,-24.032
60,1776513469.993,-76.069,-24.060
61,1776513469.993,-76.028,-24.089
62,1776513469.993,-75.987,-24.117
63,1776513469.993,-75.946,-24.145
64,1776513469.993,-75.904,-24.174
65,1776513469.993,-75.863,-24.202
66,1776513469.993,-75.822,-24.231
67,1776513469.993,-75.781,-24.259
68,1776513469.993,-75.740,-24.288
69,1776513469.993,-75.699,-24.316
70,1776513469.993,-75.658,-24.345
71,1776513469.993,-75.617,-24.373
72,1776513469.993,-75.576,-24.402
73,1776513469.993,-75.534,-24.430
74,1776513469.993,-75.493,-24.458
75,1776513469.993,-75.452,-24.487
76,1776513469.993,-75.411,-24.515
77,1776513469.993,-75.370,-24.544
78,1776513469.993,-75.329,-24.572
79,1776513469.993,-75.288,-24.601
80,1776513469.993,-75.247,-24.629
81,1776513469.993,-75.206,-24.658
82,1776513469.993,-75.164,-24.686
83,1776513469.993,-75.123,-24.715
84,1776513469.993,-75.082,-24.743
85,1776513469.993,-75.041,-24.772
86,1776513469.993,-75.000,-24.800
87,1776513469.993,-74.900,-24.900
88,1776513469.993,-74.914,-24.922
