time,phase,gt_x,gt_y,gt_z,gt_yaw,cmd_lin,cmd_ang
0.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.700,outbound,-94.958,-6.007,0.086,0.0646,0.500,0.500
1.800,outbound,-94.930,-6.005,0.088,0.0636,0.500,0.500
1.900,outbound,-94.883,-6.000,0.087,0.0779,0.500,0.500
2.000,outbound,-94.830,-5.995,0.088,0.0912,0.500,0.500
2.100,outbound,-94.778,-5.990,0.087,0.1040,0.500,0.500
2.200,outbound,-94.716,-5.986,0.085,0.1006,0.800,-0.500
2.300,outbound,-94.640,-5.979,0.087,0.0886,0.800,-0.500
2.400,outbound,-94.558,-5.971,0.087,0.0700,0.800,-0.500
2.500,outbound,-94.475,-5.965,0.086,0.0573,0.800,-0.500
2.600,outbound,-94.406,-5.961,0.088,0.0533,0.300,0.400
2.700,outbound,-94.365,-5.959,0.087,0.0622,0.300,0.400
2.800,outbound,-94.330,-5.958,0.086,0.0695,0.300,0.400
2.900,outbound,-94.299,-5.954,0.087,0.0786,0.300,0.400
3.000,outbound,-94.273,-5.953,0.087,0.0781,0.000,0.000
3.100,outbound,-94.269,-5.953,0.087,0.0780,0.000,0.000
3.200,outbound,-94.268,-5.953,0.087,0.0781,0.000,0.000
3.300,outbound,-94.267,-5.953,0.087,0.0781,0.000,0.000
3.400,outbound,-94.264,-5.952,0.086,0.0798,0.500,0.500
3.500,outbound,-94.230,-5.949,0.087,0.0870,0.500,0.500
3.600,outbound,-94.181,-5.944,0.085,0.0994,0.500,0.500
3.700,outbound,-94.128,-5.942,0.087,0.1133,0.500,0.500
3.800,outbound,-94.076,-5.935,0.087,0.1239,0.800,-0.500
3.900,outbound,-94.007,-5.927,0.087,0.1176,0.800,-0.500
4.000,outbound,-93.926,-5.923,0.086,0.1010,0.800,-0.500
4.100,outbound,-93.845,-5.918,0.088,0.0864,0.800,-0.500
4.200,outbound,-93.764,-5.913,0.087,0.0740,0.300,0.400
4.300,outbound,-93.702,-5.915,0.087,0.0719,0.300,0.400
4.400,outbound,-93.664,-5.913,0.087,0.0795,0.300,0.400
4.500,outbound,-93.630,-5.910,0.087,0.0863,0.300,0.400
4.600,outbound,-93.597,-5.909,0.087,0.0941,0.300,0.400
4.700,outbound,-93.580,-5.907,0.087,0.0958,0.000,0.000
4.800,outbound,-93.579,-5.907,0.087,0.0961,0.000,0.000
4.900,outbound,-93.579,-5.907,0.087,0.0961,0.000,0.000
5.000,outbound,-93.579,-5.907,0.087,0.0961,0.000,0.000
5.100,outbound,-93.568,-5.907,0.088,0.0991,0.500,0.500
5.200,outbound,-93.528,-5.902,0.087,0.1142,0.500,0.500
5.300,outbound,-93.477,-5.897,0.087,0.1254,0.500,0.500
5.400,outbound,-93.426,-5.891,0.090,0.1369,0.500,0.500
5.500,outbound,-93.370,-5.885,0.089,0.1358,0.800,-0.500
5.600,outbound,-93.296,-5.879,0.089,0.1271,0.800,-0.500
5.700,outbound,-93.218,-5.869,0.090,0.1159,0.800,-0.500
5.800,outbound,-93.138,-5.861,0.089,0.0983,0.800,-0.500
5.900,outbound,-93.059,-5.856,0.090,0.0911,0.600,0.484
6.000,outbound,-92.992,-5.850,0.087,0.1048,0.600,0.488
6.100,outbound,-92.928,-5.846,0.087,0.1151,0.600,0.478
6.200,outbound,-92.865,-5.842,0.090,0.1270,0.600,0.470
6.300,outbound,-92.803,-5.836,0.089,0.1372,0.600,0.465
6.400,outbound,-92.741,-5.827,0.089,0.1546,0.600,0.452
6.500,outbound,-92.680,-5.819,0.090,0.1643,0.600,0.445
6.600,outbound,-92.618,-5.810,0.089,0.1752,0.600,0.439
6.700,outbound,-92.558,-5.801,0.089,0.1843,0.600,0.429
6.800,outbound,-92.498,-5.790,0.090,0.1982,0.600,0.426
6.900,outbound,-92.436,-5.780,0.090,0.2087,0.600,0.414
7.000,outbound,-92.377,-5.767,0.090,0.2156,0.600,0.413
7.100,outbound,-92.316,-5.755,0.091,0.2226,0.600,0.408
7.200,outbound,-92.256,-5.739,0.089,0.2355,0.600,0.408
7.300,outbound,-92.196,-5.726,0.090,0.2419,0.600,0.404
7.400,outbound,-92.133,-5.712,0.090,0.2521,0.600,0.208
7.500,outbound,-92.073,-5.697,0.091,0.2557,0.600,0.203
7.600,outbound,-92.011,-5.681,0.090,0.2579,0.600,0.199
7.700,outbound,-91.950,-5.665,0.090,0.2612,0.600,0.196
7.800,outbound,-91.891,-5.649,0.091,0.2659,0.600,0.191
7.900,outbound,-91.830,-5.633,0.091,0.2688,0.600,0.187
8.000,outbound,-91.769,-5.616,0.091,0.2730,0.600,0.185
8.100,outbound,-91.708,-5.601,0.091,0.2787,0.600,0.178
8.200,outbound,-91.647,-5.585,0.091,0.2801,0.600,0.174
8.300,outbound,-91.589,-5.566,0.090,0.2850,0.600,0.174
8.400,outbound,-91.529,-5.548,0.091,0.2890,0.600,0.166
8.500,outbound,-91.469,-5.531,0.089,0.2909,0.600,0.160
8.600,outbound,-91.411,-5.513,0.089,0.2954,0.600,0.157
8.700,outbound,-91.351,-5.494,0.090,0.2973,0.600,0.157
8.800,outbound,-91.291,-5.477,0.091,0.2993,0.600,0.156
8.900,outbound,-91.230,-5.458,0.090,0.3016,0.600,0.155
9.000,outbound,-91.171,-5.440,0.091,0.3027,0.600,0.154
9.100,outbound,-91.111,-5.422,0.090,0.3037,0.600,0.152
9.200,outbound,-91.052,-5.403,0.089,0.3044,0.600,0.154
9.300,outbound,-90.991,-5.384,0.090,0.3062,0.600,0.153
9.400,outbound,-90.931,-5.366,0.089,0.3071,0.600,0.153
9.500,outbound,-90.871,-5.346,0.089,0.3092,0.600,0.150
9.600,outbound,-90.811,-5.328,0.089,0.3115,0.600,0.147
9.700,outbound,-90.750,-5.310,0.090,0.3156,0.600,0.144
9.800,outbound,-90.690,-5.289,0.089,0.3209,0.600,0.143
9.900,outbound,-90.631,-5.270,0.088,0.3256,0.600,0.135
10.000,outbound,-90.573,-5.250,0.088,0.3274,0.600,0.133
10.100,outbound,-90.512,-5.230,0.087,0.3295,0.600,0.129
10.200,outbound,-90.453,-5.209,0.088,0.3337,0.600,0.124
10.300,outbound,-90.393,-5.189,0.087,0.3367,0.600,0.122
10.400,outbound,-90.334,-5.169,0.088,0.3398,0.600,0.119
10.500,outbound,-90.275,-5.148,0.087,0.3410,0.600,0.119
10.600,outbound,-90.215,-5.129,0.087,0.3425,0.600,0.117
10.700,outbound,-90.155,-5.108,0.088,0.3454,0.600,0.117
10.800,outbound,-90.096,-5.087,0.087,0.3492,0.600,0.109
10.900,outbound,-90.038,-5.067,0.088,0.3477,0.600,0.110
11.000,outbound,-89.980,-5.045,0.086,0.3512,0.600,0.109
11.100,outbound,-89.921,-5.025,0.087,0.3516,0.600,0.109
11.200,outbound,-89.862,-5.003,0.086,0.3515,0.600,0.110
11.300,outbound,-89.803,-4.980,0.087,0.3579,0.600,0.104
11.400,outbound,-89.744,-4.959,0.087,0.3608,0.600,0.101
11.500,outbound,-89.684,-4.937,0.087,0.3654,0.600,0.098
11.600,outbound,-89.625,-4.915,0.086,0.3666,0.600,0.095
11.700,outbound,-89.566,-4.894,0.086,0.3666,0.600,0.094
11.800,outbound,-89.507,-4.872,0.086,0.3691,0.600,0.095
11.900,outbound,-89.449,-4.849,0.087,0.3711,0.600,0.093
12.000,outbound,-89.391,-4.828,0.087,0.3728,0.600,0.090
12.100,outbound,-89.334,-4.805,0.087,0.3751,0.600,0.089
12.200,outbound,-89.275,-4.783,0.087,0.3782,0.600,0.086
12.300,outbound,-89.216,-4.760,0.086,0.3778,0.600,0.086
12.400,outbound,-89.156,-4.738,0.088,0.3796,0.600,0.086
